"Gender","Age","Academic.Pressure","Study.Satisfaction","Sleep.Duration","Dietary.Habits","Have.you.ever.had.suicidal.thoughts..","Study.Hours","Financial.Stress","Family.History.of.Mental.Illness","Depression"
"Female",34,4,2,"More than 8 hours","Moderate","Yes",6,2,"No","Yes"
"Male",33,4,3,"Less than 5 hours","Unhealthy","Yes",10,1,"No","Yes"
"Male",31,5,4,"5-6 hours","Healthy","Yes",7,4,"No","Yes"
"Male",32,5,2,"5-6 hours","Moderate","Yes",12,3,"No","Yes"
"Female",31,2,1,"Less than 5 hours","Moderate","Yes",5,2,"No","Yes"
"Female",33,2,4,"Less than 5 hours","Moderate","Yes",10,3,"Yes","Yes"
"Female",34,3,2,"7-8 hours","Unhealthy","Yes",0,4,"Yes","Yes"
"Female",32,5,3,"7-8 hours","Healthy","Yes",3,3,"No","Yes"
"Male",31,3,5,"Less than 5 hours","Moderate","Yes",10,4,"No","Yes"
"Male",34,5,3,"Less than 5 hours","Moderate","Yes",11,5,"No","Yes"
"Female",33,4,1,"5-6 hours","Healthy","Yes",12,1,"No","Yes"
"Female",33,5,4,"7-8 hours","Moderate","Yes",12,3,"No","Yes"
"Male",33,2,4,"Less than 5 hours","Unhealthy","Yes",12,4,"Yes","Yes"
"Male",33,5,4,"5-6 hours","Moderate","Yes",0,5,"No","Yes"
